epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,12,,,,,,,0.1855670064687729,0.16458208858966827,2.327070951461792
0,12,,,,0.12403100728988647,0.08777332305908203,2.4745304584503174,,,
1,25,,,,,,,0.1649484485387802,0.1530139446258545,2.405892848968506
1,25,,,,0.14987079799175262,0.11840038746595383,2.2709929943084717,,,
2,38,,,,,,,0.17525772750377655,0.16142728924751282,2.30649471282959
2,38,,,,0.17571058869361877,0.13312727212905884,2.232013702392578,,,
3,51,,,,,,,0.2164948433637619,0.1800984889268875,2.332599639892578
3,51,,,,0.17571058869361877,0.15586233139038086,2.1897482872009277,,,
4,64,,,,,,,0.1855670064687729,0.12815918028354645,2.297414541244507
4,64,,,,0.23255814611911774,0.1990620195865631,2.1798603534698486,,,
5,77,,,,,,,0.1649484485387802,0.14991521835327148,2.2862420082092285
5,77,,,,0.2583979368209839,0.2358218878507614,2.1093053817749023,,,
6,90,,,,,,,0.2164948433637619,0.2093028873205185,2.2531042098999023
6,90,,,,0.2506459951400757,0.22197853028774261,2.077747344970703,,,
7,103,,,,,,,0.2164948433637619,0.2083071619272232,2.2508316040039062
7,103,,,,0.2609819173812866,0.22048616409301758,2.073197603225708,,,
8,116,,,,,,,0.27835050225257874,0.2803840637207031,2.206296682357788
8,116,,,,0.2583979368209839,0.2248440980911255,2.063502550125122,,,
9,129,,,,,,,0.25773194432258606,0.24557358026504517,2.2371935844421387
9,129,,,,0.29198965430259705,0.26605576276779175,2.028261423110962,,,
10,130,0.26771652698516846,0.320309579372406,2.169255018234253,,,,,,
